,202317
a,99209
about,6121
all,11971
an,8104
and,167100
any,5067
are,7566
as,29531
at,18706
be,27239
been,6037
but,30329
by,15659
could,6614
do,5427
down,4100
for,36130
from,9433
got,4047
had,24180
has,5077
have,23991
he,44747
her,21272
him,8425
his,34380
i,72836
if,7613
in,69179
into,4263
is,37433
it,50587
it.,4557
its,4523
like,4217
me,11514
my,22712
no,7952
not,32386
of,119701
on,12904
one,9926
or,8610
other,4002
our,4088
out,7891
said,5039
see,4020
she,19935
so,13588
some,4462
that,54938
the,208421
their,6428
them,5581
then,6525
there,8909
they,14089
this,18019
thou,5138
thy,4028
to,114272
up,7138
upon,4160
was,49624
we,13668
were,9682
what,5911
when,8507
which,7409
who,4428
will,11037
with,34665
would,9567
you,35121
your,11160
